"","Answer","mean(Percentage)","sd(Percentage)"
"1","Facebook",0.176768965517241,0.224200490483813
"2","Instagram",0.310479310344828,0.299383544121704
"3","None",0.403468965517241,0.309326694974488
"4","Snapchat",0.0313206896551724,0.102884508366452
"5","Twitter",0.0745275862068965,0.185199922643328
