Question,Segment_Type,Segment_Description,Answer,Count,Percentage
What social platform has influenced your online shopping most?,University,University of Wisconsin-Whitewater,Twitter,1,1
What social platform has influenced your online shopping most?,University,Lock Haven University,Facebook,1,1
What social platform has influenced your online shopping most?,University,Lock Haven University,Twitter,0,0
What social platform has influenced your online shopping most?,University,Kalamazoo College,Facebook,0,0
What social platform has influenced your online shopping most?,University,Kalamazoo College,Twitter,0,0
What social platform has influenced your online shopping most?,University,Stanford University,Facebook,2,0.222
What social platform has influenced your online shopping most?,University,Stanford University,Twitter,0,0
What social platform has influenced your online shopping most?,University,Vanderbilt University,Facebook,15,0.375
What social platform has influenced your online shopping most?,University,Vanderbilt University,Twitter,0,0
What social platform has influenced your online shopping most?,University,Chapman University,Facebook,2,0.2
What social platform has influenced your online shopping most?,University,Chapman University,Twitter,0,0
What social platform has influenced your online shopping most?,University,Missouri State University,Facebook,3,0.12
What social platform has influenced your online shopping most?,University,Missouri State University,Twitter,2,0.08
What social platform has influenced your online shopping most?,University,Emory University,Facebook,15,0.319
What social platform has influenced your online shopping most?,University,Emory University,Twitter,1,0.021
What social platform has influenced your online shopping most?,University,University of Richmond,Facebook,3,0.6
What social platform has influenced your online shopping most?,University,University of Richmond,Twitter,0,0
What social platform has influenced your online shopping most?,University,Medford High School,Facebook,0,0
What social platform has influenced your online shopping most?,University,Medford High School,Twitter,0,0
What social platform has influenced your online shopping most?,University,University of British Columbia,Facebook,1,0.333
What social platform has influenced your online shopping most?,University,University of British Columbia,Twitter,0,0
What social platform has influenced your online shopping most?,University,Colby College,Facebook,0,0
What social platform has influenced your online shopping most?,University,Colby College,Twitter,0,0
What social platform has influenced your online shopping most?,University,Bates College,Facebook,8,0.17
What social platform has influenced your online shopping most?,University,Bates College,Twitter,4,0.085
What social platform has influenced your online shopping most?,University,"Westport, CT",Facebook,1,1
What social platform has influenced your online shopping most?,University,"Westport, CT",Twitter,0,0
What social platform has influenced your online shopping most?,University,Whitman College,Facebook,5,0.227
What social platform has influenced your online shopping most?,University,Whitman College,Twitter,0,0
What social platform has influenced your online shopping most?,University,Thompson Rivers University ,Facebook,0,0
What social platform has influenced your online shopping most?,University,Thompson Rivers University ,Twitter,0,0
What social platform has influenced your online shopping most?,University,University of Central Florida,Facebook,0,0
What social platform has influenced your online shopping most?,University,University of Central Florida,Twitter,0,0
What social platform has influenced your online shopping most?,University,University of Montana ,Facebook,0,0
What social platform has influenced your online shopping most?,University,University of Montana ,Twitter,0,0
What social platform has influenced your online shopping most?,University,University of Nebraska,Facebook,0,0
What social platform has influenced your online shopping most?,University,University of Nebraska,Twitter,0,0
What social platform has influenced your online shopping most?,University,Whatsgoodly University,Facebook,0,0
What social platform has influenced your online shopping most?,University,Whatsgoodly University,Twitter,0,0
